우선순위,작업일정,구분,유형,페이지,이슈타입,이슈내용
1,3월 2주차,매니저웹,셀러,라이브 예약,기능 개선,라이브 방송 예약 시간 경과 후 미진행 시 자동 취소/종료되지 않고 예정 상태 유지됨
1,3월 2주차,클라이언트웹,클라이언트,정산서,기능 에러,"카카오톡 정산서 알림톡에서 정산서 보기 클릭 시 정상 표시 안 됨. 구글 로그인은 액세스 차단, 대표님 계정은 화면 미표시"
1,3월 2주차,어드민웹,셀러,페이지 추가,기능 개선,정산서 결제기한(현재 24시간 고정) 시간 설정 기능 추가 필요
1,3월 2주차,매니저웹,셀러,배송 관리,기능 개선,배송 상태별 전체 선택 후 일괄 상태 변경 기능 필요 (배송중 → 배송완료 등)
1,3월 2주차,매니저웹,셀러,라이브 방송,기능 개선,총 누적 시청자 수와 실시간 시청자 수 동시 표시 필요
1,3월 2주차,방송송출앱,셀러,라이브 방송,기능 개선,총 누적 시청자 수와 실시간 시청자 수 동시 표시 필요
1,3월 2주차,매니저웹,셀러,라이브 방송,기능 개선,주문 취소 건수 표시 필요
1,3월 2주차,매니저웹,셀러,라이브 방송,기능 개선,상품 추가 시 추가된 상품이 상품 리스트 최상단에 표시되도록 변경 필요
1,3월 2주차,매니저웹,셀러,라이브 방송,기능 개선,특정 상품 주문건 일괄 취소 기능 추가 필요
1,3월 2주차,매니저웹,셀러,라이브 방송,기능 개선,라이브 중 썸네일 변경 기능 추가 필요
1,3월 2주차,매니저웹,셀러,페이지 추가,기능 개선,썸네일 다건 저장 후 불러오기/등록/변경 기능 추가 필요
1,3월 2주차,방송송출앱,셀러,라이브 방송,기능 개선,카메라 송출 화면이 너무 확대되어 표시됨. 축소 조절 필요
1,3월 2주차,매니저웹,셀러,라이브 방송,UI 개선,공지사항 위치를 기존 추천 상품 자리로 변경 및 항시 노출되도록 개선 필요
1,3월 2주차,클라이언트웹,클라이언트,라이브 방송,UI 개선,공지사항 위치를 기존 추천 상품 자리로 변경 및 항시 노출되도록 개선 필요
1,3월 2주차,매니저웹,셀러,내 라이브(종료),기능 개선,방송 종료 후 판매 내역 엑셀 다운로드 기능 추가 필요
2,3월 3주차,매니저웹,셀러,라이브 방송,기능 개선,라이브 채팅창에서 구매자 이름 색상 변경 또는 이모티콘 적용 필요 (구매 여부 및 금액별 차등 표시)
2,3월 3주차,클라이언트웹,클라이언트,라이브 방송,기능 개선,라이브 채팅창에서 구매자 이름 색상 변경 또는 이모티콘 적용 필요 (구매 여부 및 금액별 차등 표시)
2,3월 3주차,매니저웹,셀러,라이브 예약,기능 개선,라이브 채팅창에서 구매자 이름 색상 변경 기능 온/오프 설정 추가 필요. 오프 시 현재와 같이 매니저/유저로만 구분
2,3월 3주차,매니저웹,셀러,페이지 추가,기능 개선,악성 유저(의도적 구매 후 취소 등) 모니터링 기능 필요. 취소 정산서 건수 및 금액 등 확인 가능해야 함
2,3월 3주차,어드민웹,셀러,페이지 추가,기능 개선,악성 유저 확인 및 제재 기능 필요 (의도적 구매 취소 등 이상 행위 유저 조회/제재)
2,3월 3주차,매니저웹,셀러,라이브 방송,기능 개선,추천 상품에 하이라이트처럼 카운트다운 시간 설정 기능 추가 필요 (시간 설정 / 고정 선택 가능)
2,3월 3주차,매니저웹,셀러,라이브 방송,기능 개선,라이브 채팅창에서 클라이언트 실시간 상품 구매 시 구매 알림 채팅 표시 필요
2,3월 3주차,방송송출앱,셀러,라이브 방송,기능 개선,라이브 채팅창에서 클라이언트 실시간 상품 구매 시 구매 알림 채팅 표시 필요
2,3월 3주차,클라이언트웹,클라이언트,라이브 방송,기능 개선,라이브 채팅창에서 클라이언트 실시간 상품 구매 시 구매 알림 채팅 표시 필요
2,3월 3주차,매니저웹,셀러,라이브 방송,기능 개선,"클라이언트 주문 취소, 수량 변경, 취소 쿠폰 발급 기능 추가 필요"
2,3월 3주차,클라이언트웹,클라이언트,라이브 방송,기능 개선,취소 쿠폰 사용 기능 추가 필요
2,3월 3주차,클라이언트웹,클라이언트,페이지 추가,기능 개선,방송 종료 후 셀러에게 직접 문의 기능 추가 필요 (1:1 채팅창 등)
2,3월 3주차,매니저웹,셀러,페이지 추가,기능 개선,클라이언트 문의 CS 처리 및 정산서 수정 기능 추가 필요
3,이후 순차 보완,매니저웹,셀러,배송 관리,기능 개선,운송장 등록 시 택배사 API 연동하여 배송 상태 자동 변경 필요 (수동 변경 아닌 자동 반영)
3,이후 순차 보완,매니저웹,셀러,라이브 예약,기능 개선,이퓨어 상품 등록 시 배송 방식 선택 기능 필요 (본사 배송 / 직접 배송)
3,이후 순차 보완,방송송출앱,셀러,라이브 방송,기능 개선,매니저웹 라이브 대시보드 조작 없이 방송송출앱만으로 방송 진행 가능하도록 개선 필요
3,이후 순차 보완,방송송출앱,셀러,라이브 방송,기능 개선,카메라 기본 보정 기능 추가 필요
