중요도,구분,유형,페이지,이슈타입,이슈내용
,매니저웹,셀러,라이브 예약,UI 개선,정보입력 > 썸네일 이미지 선택 시 특정 크기 이상 업로드 불가하나 안내 메시지 없음. 파일 크기 제한 안내 추가 필요
,매니저웹,셀러,라이브 예약,UI 개선,상품 구성 > 외부상품 등록 > 엑셀 일괄 등록 시 이미지 업로드 때 특정 크기 이상 업로드 불가하나 안내 메시지 없음. 파일 크기 제한 안내 추가 필요
,매니저웹,셀러,라이브 예약,기능 에러,상품 구성 > 이퓨어 상품 추가 후 다시 이퓨어 상품 버튼 클릭 시 새 상품 추가가 아닌 이전에 추가한 상품의 수정 팝업이 뜸
,매니저웹,셀러,라이브 예약,기능 에러,이퓨어 상품 추가 > 판매 조건 설정에서 방송판매가를 정가보다 높게 설정 가능. 정가 초과 입력 불가 처리 필요
,매니저웹,셀러,라이브 예약,기능 에러,이퓨어 상품 추가 > 판매 조건 설정에서 방송판매가를 상품 최소가보다 낮게 설정해도 등록됨. 최소가 미만 입력 불가 처리 필요
,매니저웹,셀러,라이브 예약,UI 개선,라이브 예약 시 시작 시간이 현재 시각보다 이전인 경우 예약이 막히나 별도 안내 팝업이 없음. 사유 안내 팝업 추가 필요
,매니저웹,셀러,라이브 방송,기능 에러,라이브 방송 중 구매 탭에 판매된 상품 관련 내용이 표시되지 않음
,매니저웹,셀러,라이브 방송,기능 에러,라이브 방송 중 총 주문금액에 판매 내역이 반영되지 않음
,매니저웹,셀러,문의 채팅,기능 에러,문의 채팅 확인 후 읽지 않은 메시지 수 뱃지가 초기화되지 않고 계속 누적됨. 채팅 확인 시 뱃지 초기화 필요
,방송송출앱,셀러,채팅,UI 개선,채팅에서 호스트와 일반 참여 유저의 이름 색상이 동일하여 구분이 안됨. 호스트/유저 색상 구분 필요
,클라이언트웹,클라이언트,라이브 방송,기능 에러,매니저웹에서 상품 하이라이트 시 클라이언트웹 라이브 화면에 표시되는 60초 카운트다운이 동작하지 않고 60초에 고정됨
,클라이언트웹,클라이언트,라이브 방송,기능 에러,라이브 방송 중 품절된 상품에 품절 처리가 되지 않음
,클라이언트웹,클라이언트,라이브 방송,기능 에러,판매 상품 목록의 판매순/품절임박순/가격순 필터가 적용되지 않음
,클라이언트웹,클라이언트,마이페이지,기능 에러,프로필 설정에서 프로필 이미지 등록이 되지 않음
,클라이언트웹,클라이언트,마이페이지,기능 에러,배송지 관리 > 공동현관 출입방법에서 비밀번호 또는 기타사항 선택 시 내용을 입력할 수 있는 텍스트 입력 필드가 표시되지 않음
,클라이언트웹,클라이언트,마이페이지,기능 에러,주문배송조회 > 결제완료 상태 주문에서 주문취소 및 배송조회가 동작하지 않음
,클라이언트웹,클라이언트,라이브 예고,기능 에러,매니저웹에서 등록한 라이브가 클라이언트웹 라이브 예고에 표시되지 않음
,클라이언트웹,클라이언트,상품 상세,기능 에러,상품 공유 기능이 동작하지 않음
,클라이언트웹,클라이언트,가성비 상품,기능 에러,페이지 상단 배너가 표시되지 않음
,클라이언트웹,클라이언트,주문 결제,기능 개선,배송 요청사항에 배송지 관리에서 입력한 공동현관 출입방법 내용이 기본값으로 노출되고 수정 가능한 형태로 개선 필요
,클라이언트웹,클라이언트,주문 결제,기능 개선,동의 항목 내 결제대행 서비스 이용약관을 PG사 약관 내용으로 업데이트 및 약관 링크 연결 필요
,클라이언트웹,클라이언트,로그인,UI 개선,로그인 화면 좌상단에 닫기 버튼 추가 필요
,클라이언트웹,클라이언트,라이브 방송,UI 개선,하이라이트 UI 개선 필요 (피그마 참고)
,클라이언트웹,클라이언트,브랜드,UI 개선,좋아요 버튼 크기가 너무 작음. UI 개선 필요 (피그마 참고)
,클라이언트웹,클라이언트,카테고리,UI 개선,카테고리 UI 개선 필요 (피그마 참고)
,클라이언트웹,클라이언트,홈,UI 개선,주목할만한 신상품 섹션 UI 개선 필요 (피그마 참고)
,클라이언트웹,클라이언트,상품 상세,UI 개선,배송정보 UI 개선 필요 (피그마 참고)
,클라이언트웹,클라이언트,로그인,UI 개선,로그인 화면 UI 개선 필요 (피그마 참고)
,클라이언트웹,클라이언트,온보딩,기능 개선,최초 가입 시 브랜드 좋아요를 유도하는 온보딩 추가 필요 (피그마 참고)
,클라이언트웹,클라이언트,온보딩,기능 개선,온보딩 완료 시 웰컴 쿠폰팩 지급 기능 추가 필요 (피그마 참고)
,클라이언트웹,클라이언트,튜토리얼,기능 개선,튜토리얼 추가 필요 (피그마 참고)
