진행도,구분,유형,페이지,엔드포인트,이슈내용
완료,매니저웹,클라이언트,상품,,외부상품 추가하면 -> 이퓨어 상품과 혼재되어서 클라이언트 웹에 노출되는 현상
완료,매니저웹,셀러,라이브 대시보드,,총 시청자 / 현재 시청자 / 좋아요 / 주문금액 수치가 표시되지 않음
완료,클라이언트웹,클라이언트,라이브 방송,,시청자 수가 표시되지 않음
완료,방송송출앱,셀러,방송 진행 중,,문의 채팅 기능 자체가 동작하지 않음
완료,매니저웹,셀러,대시보드,,라이브 현황이 반영되지 않음 -> 새로고침 주기적으로 넣기?
완료,매니저웹,셀러,라이브 예약,,썸네일 이미지 업로드 시 일부 파일이 업로드되지 않음. 파일 크기에 따른 문제로 추정되며 업로드 허용 파일 크기 기준 정의 및 초과 시 안내 문구 필요+이미치 추가 버튼 더 명확하게
완료,매니저웹,셀러,라이브 대시보드,,추천상품 등록 기능 동작 안 됨
완료,매니저웹,셀러,라이브 대시보드,,하이라이트 기능 동작 안 됨
완료,매니저웹,셀러,라이브 대시보드,,품절처리 기능 동작 안 됨
완료,매니저웹,셀러,라이브 대시보드,,상품 수정 기능 동작 안 됨
완료,매니저웹,셀러,라이브 대시보드,,공지사항 수정 기능 동작 안 됨
완료,매니저웹,셀러,라이브 대시보드,,구매내역 확인 불가
완료,매니저웹,셀러,정산서 내역,,동작 안 됨
완료,매니저웹,셀러,배송관리,,동작 안 됨
완료,클라이언트웹,클라이언트,라이브 방송,,라이브 도중 추가된 상품은 구매 불가
완료,매니저웹,셀러,라이브 대시보드,,상품 순서변경 기능 동작 안 됨
완료,매니저웹,셀러,라이브 대시보드,,상품 목록 스크롤 동작 안 됨
완료,매니저웹,셀러,라이브 대시보드,,현재 시청자 / 차단된 사용자 등 시청자 관련 기능 동작 안 됨
완료,매니저웹,셀러,라이브 예약,,프론트에서 한 사람의 계정에 이미 예약한 방송이 있는 경우 라이브 예약창 (이미 예약한 방송이 있습니다.) 팝업으로 추가 예약 막기
완료,매니저웹,셀러,정산현황,,서버에서 MOCK 데이터 반환하고 프론트-서버 엔드포인트 연결만 시키기 (테스트 대상이 아니라서 나중에 서버 중심 수정 가능하게)
완료,클라이언트웹,클라이언트,결제,,가상계좌 결제 선택 후 입금 계좌 안내 페이지가 표시되지 않음
완료,매니저웹,셀러,라이브 예약,,이퓨어상품 추가 후 이퓨어상품 버튼을 재클릭 시 신규 상품 추가 팝업이 아닌 기존에 추가한 상품의 수정 팝업이 열림
진행중,매니저웹,셀러,라이브 대시보드,,문의 채팅 위에 표시되는 안읽은 채팅 수가 읽은 후에도 사라지지 않음
